Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,63.88581,59.312336,59.986287,58.727675,59.019657,64.873788,69.397491,70.378684,75.666379,82.130634,81.703903,87.308535,95.061618,104.49147,100.847691,92.885762,99.788206,107.913615,108.282194,96.151156,101.156665,104.256442,95.634175,98.905735,100.654425,102.530048,109.054324,115.826548,116.434612,125.887718,123.280887,120.097255,119.252216,113.005746,111.303266,109.476202,117.753084,107.938155,89.850437,92.633522,87.385218,79.93868,76.269872,74.480009,69.176281,69.285507,69.594828,57.101889
Chile,5.143165,4.382517,4.62984,4.539046,3.598073,3.714769,3.903997,3.907439,4.280213,4.847618,4.859145,3.158249,3.79429,5.133686,4.976539,5.125296,4.940815,7.035355,9.202653,9.788579,7.939501,7.157638,6.993886,8.478761,8.891695,12.362493,16.027401,15.138136,15.619595,11.664729,9.19724,9.305667,9.079975,10.405487,10.257861,13.396722,13.006258,16.090271,15.080544,17.540901,21.442816,24.65317,28.015405,24.219027,27.76073,29.251852,29.417847,28.137335
Mexico,5.173034,5.788516,6.482444,6.783518,6.660184,7.277509,7.978763,8.2219,7.968721,7.317505,7.823516,8.191043,11.235301,11.114723,11.667957,12.001294,13.093982,11.787896,13.347847,15.146984,14.875762,14.835833,18.015805,19.954809,21.807332,24.743896,25.253878,25.940141,25.456439,26.413151,30.05484,34.322602,43.657921,39.286448,48.080647,52.188989,46.810533,42.677888,42.32115,53.575281,57.702313,50.671411,51.335346,50.135832,55.045725,48.411191,51.004086,48.256388
United States,1105.837617,1171.230958,1241.853451,1234.444277,1226.215872,1307.89908,1356.187694,1341.132942,1421.069447,1433.48254,1514.756316,1447.750242,1524.771833,1610.826433,1662.042909,1626.147067,1699.168246,1782.04706,1797.891745,1837.190938,1822.840687,1827.095721,1877.989323,1883.175051,1938.612129,2015.739513,2103.748382,2083.529505,2066.023526,2171.973035,2173.868451,2091.308825,2131.072668,2157.071793,2179.210734,2146.246661,2173.944713,2130.805746,1870.966772,1982.180673,1869.963869,1648.085339,1705.187946,1698.798209,1465.189959,1356.118237,1324.2305,1270.007031
OECD Americas,1180.039626,1240.714327,1312.952022,1304.494516,1295.493786,1383.765146,1437.467945,1423.640965,1508.98476,1527.778297,1609.14288,1546.408069,1634.863042,1731.566312,1779.535096,1736.159419,1816.991249,1908.783926,1928.724439,1958.277657,1946.812615,1953.345634,1998.633189,2010.514356,2069.965581,2155.37595,2254.083985,2240.43433,2223.534172,2335.938633,2336.401418,2255.034349,2303.06278,2319.769474,2348.852508,2321.308574,2351.514588,2297.51206,2018.218903,2145.930377,2036.494216,1803.3486,1860.808569,1847.633077,1617.172695,1503.066787,1474.247261,1403.502643
Australia,75.246575,79.311371,81.561271,86.935223,92.858124,92.940821,100.765948,92.87042,97.165609,106.644567,107.749916,112.616134,105.603217,108.310434,119.366212,117.733043,125.783333,131.070456,140.365549,140.834664,145.627084,148.719601,149.653862,151.969443,156.418984,163.416875,169.611483,187.71552,189.407289,190.104852,195.210175,196.901123,195.240529,203.907592,208.090636,211.438004,213.041349,210.561426,216.556118,201.96008,193.393348,188.517711,176.004041,167.319592,172.870656,178.888411,176.671579,170.212503
Israel,0.022935,0.00572,0.00572,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,2.239677,4.199079,6.695818,7.318127,8.106511,8.632643,8.544478,9.146521,9.462776,10.173261,12.403958,14.16873,15.016434,16.462526,19.558972,21.575549,23.203928,22.807186,25.559259,28.777483,30.074094,30.984817,31.015533,29.521718,30.512426,31.906076,30.227768,29.206828,29.320796,30.401433,33.676481,28.106923,26.157259,25.610447,21.855957,19.785191,18.630634
Japan,201.562167,206.829961,211.75396,211.465876,205.480879,204.350383,193.603369,175.493378,188.755206,198.433632,212.201294,222.6073,219.402597,243.53562,255.182839,246.327201,244.433047,264.562224,266.111013,296.274565,297.962666,294.962755,299.720648,308.639237,318.36024,327.184892,330.54571,303.670575,318.931825,346.245354,356.129998,374.841048,389.762603,396.421061,399.924652,395.381899,414.199201,398.099385,384.950421,421.884477,408.143002,428.260634,456.807823,456.483588,452.378285,444.52063,444.308882,431.278521
Korea,22.205204,23.015787,28.553017,30.449867,32.086462,34.784624,37.674298,38.424715,44.126886,50.535926,56.941477,57.649654,62.879608,76.549841,83.97124,87.994344,87.906099,93.599782,89.820937,90.785693,91.885238,86.85998,95.280722,100.853678,106.549717,122.088462,131.995837,136.068221,142.324905,180.495249,193.595312,182.875831,185.355144,200.19034,200.056055,210.349932,216.484533,242.481715,259.037735,284.289749,306.20688,298.756094,291.995968,298.561178,311.363051,303.387675,312.839991,315.264248
New Zealand,3.96995,4.098058,4.525577,4.505418,4.247266,4.392583,4.100772,4.319083,3.6992,3.912334,3.920519,3.953308,4.311129,4.298083,3.98808,3.458442,4.148544,4.834871,4.245362,3.386772,3.153714,3.502793,3.439667,3.307375,3.245937,3.208435,3.902908,4.487334,4.621293,4.455531,5.574966,5.491752,8.014174,8.160335,8.927304,8.923718,6.744945,8.308566,6.306955,5.509642,5.334831,6.781166,6.020817,5.49517,5.582296,4.673073,4.972221,5.007478
OECD Asia Oceania,303.006831,313.260897,326.399545,333.359244,334.675591,336.471271,336.147247,311.110456,333.749761,359.529319,380.816066,399.066073,396.39563,439.389796,469.826498,463.619541,470.903666,502.611811,509.689382,540.74447,548.801963,546.449087,562.263629,579.786167,601.037404,635.457636,657.631487,655.145578,678.092498,746.860245,779.287934,790.183848,809.357267,839.694861,846.520365,856.605979,882.376104,889.67886,896.058057,942.964744,943.479494,955.992086,958.935572,954.016787,967.804735,953.325746,958.577864,940.393384
