Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,68.241577,78.068799,83.022777,86.072676,87.800192,89.762384,94.853695,91.258655,95.160724,96.548493,94.181976,95.667089,93.738825,100.811868,108.619693,107.601359,106.655026,117.719909,122.598909,119.107475,118.999225,125.237264,130.825296,137.868044,143.380593,150.585314,151.254155,146.303661,153.408867,162.561896,156.188947,164.115271,172.14202,166.515111,167.084184,164.88802,175.765535,174.165305,168.890666,171.445712,188.880465,191.806764,202.925622,214.018729,212.264958,206.32885,211.167112,229.494868
Chile,1.322888,1.204692,0.945728,0.985312,1.119767,1.220344,1.255888,1.172984,1.388223,1.421647,1.399886,1.449315,1.563726,1.599574,1.595787,1.46219,1.419678,1.993194,3.108114,0.939568,1.012173,1.035399,0.913263,0.973851,1.017525,1.01596,1.926194,3.276548,4.342695,6.690733,8.474443,8.31848,9.87337,11.133852,10.562659,8.510898,5.107871,3.390454,4.573738,8.727348,10.221246,9.002064,9.200237,7.707955,8.278795,8.715988,9.21603,9.206151
Mexico,19.565683,20.974657,23.46038,24.596254,24.462859,23.608215,24.819774,30.706251,38.178367,40.455567,42.594323,48.627575,48.642975,49.007765,50.54564,44.823507,44.46109,45.040917,43.003998,48.387849,52.164451,52.952852,55.097717,57.242229,56.311144,60.995606,65.345167,75.479975,72.166115,81.989903,83.047619,93.507833,104.622147,109.499581,109.167963,120.506503,124.137643,130.645148,130.678066,135.154763,140.151404,146.732018,140.647569,138.48892,144.249879,146.204247,150.105054,155.809045
United States,1195.865546,1208.139816,1198.175615,1156.763616,1061.68519,1082.889475,1060.75991,1064.567765,1099.894305,1085.434222,1060.679379,984.913934,923.775895,984.994162,949.229369,889.280673,941.159299,987.973324,1032.457388,994.854354,1013.849197,1041.835804,1077.694206,1100.596521,1144.100977,1167.507938,1204.493328,1184.900027,1190.514364,1234.183821,1181.728598,1220.818058,1190.139879,1195.910835,1180.509113,1166.06549,1243.299285,1247.962643,1221.322907,1286.982173,1303.506086,1360.979409,1385.623476,1412.44023,1459.337765,1469.893053,1436.739653,1600.655542
OECD Americas,1284.995694,1308.387964,1305.6045,1268.417858,1175.068008,1197.480418,1181.689267,1187.705655,1234.621619,1223.859929,1198.855564,1130.657913,1067.721421,1136.413369,1109.990489,1043.167729,1093.695093,1152.727344,1201.168409,1163.289246,1186.025046,1221.061319,1264.530482,1296.680645,1344.810239,1380.104818,1423.018844,1409.960211,1420.432041,1485.426353,1429.439607,1486.759642,1476.777416,1483.059379,1467.323919,1459.970911,1548.310334,1556.16355,1525.465377,1602.309996,1642.759201,1708.520255,1738.396904,1772.655834,1824.131397,1831.142138,1807.227849,1995.165606
Australia,3.999767,5.813015,7.110204,7.809339,8.641061,9.734371,11.450425,12.59155,14.049247,16.289185,18.828326,20.821621,20.756691,22.246348,23.775337,26.107065,26.833062,28.127222,29.052602,32.273562,30.588205,31.882516,33.269679,34.783823,37.390369,37.677557,37.959443,39.629147,41.439466,43.611243,46.034561,50.669239,46.330634,47.812718,47.691541,48.495594,55.552128,57.34326,59.593751,60.899574,61.775727,64.797705,65.379854,66.496995,67.15271,69.18367,71.822732,74.144969
Israel,0.032768,0.023225,0,0.000656,0.000656,0.000656,0.000656,0.001262,0.000858,0.00212,0.00212,0.000858,0.000858,0.000858,0.00722,0.005705,0.006311,0.005705,0.005958,0.00515,0.003787,0.003938,0.000454,0.000505,0.008028,0.01035,0.010552,0.008432,0.010552,0.007069,0.006917,0.015046,0.016914,2.296538,3.161028,4.537132,5.446811,6.924047,8.462679,10.191154,9.471672,4.939891,13.612558,15.493058,16.365677,18.623186,19.945771,18.333373
Japan,8.57613,8.732548,13.654011,17.516395,19.28208,22.960277,28.182508,38.401583,45.342191,51.499194,52.743924,53.400496,56.993769,76.572427,81.885894,83.353234,86.038444,90.237546,96.482502,111.564246,119.543504,120.95151,123.855454,130.029944,134.692269,140.480851,145.204035,149.018856,157.960483,162.903164,162.311558,166.227073,171.637773,170.653013,169.461196,186.213207,202.337476,198.253693,196.130376,206.762698,241.050062,250.265953,249.543628,251.652693,239.646048,244.358322,239.012699,228.380277
Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122691,4.430195,5.741067,5.548043,6.40087,7.404156,9.684285,12.098212,16.104644,19.47576,25.728644,31.270123,29.252088,35.80145,40.120414,43.941901,49.083551,51.142886,60.293744,64.136993,68.55926,73.668697,75.331736,72.420534,91.220182,98.331497,106.538646,110.697052,99.825596,93.350961,99.039215,102.683825,113.96727
New Zealand,0.245432,0.480463,0.577909,0.599669,0.649049,1.832282,3.090039,3.027986,2.086903,1.854195,2.19687,3.884852,3.959376,4.330628,5.311851,4.615442,4.744343,4.914545,5.025067,6.584703,7.308023,7.734361,7.486152,6.960703,6.423944,7.434804,8.59562,7.400673,8.40916,8.711392,9.688627,8.991613,7.6199,6.536435,6.880272,6.835841,7.664685,6.887291,6.702194,7.457272,6.737032,7.003468,7.354121,7.51887,7.1201,6.86563,7.440411,6.415846
