Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,208.103569,220.528076,232.644518,240.544065,230.286006,234.584513,237.345819,241.498385,246.487297,243.583199,226.888871,202.691856,190.244412,189.072733,184.406823,185.258154,190.174781,201.041732,211.363204,193.651348,183.298926,186.763118,186.667106,191.333117,193.834259,198.962,206.732925,211.516575,213.32754,214.394478,216.100735,229.414429,242.080616,245.802311,259.879789,254.512473,265.920683,256.999227,252.943433,261.27685,261.493296,264.562917,266.770009,262.67353,266.772108,265.224003,271.187359,277.484804
Chile,14.570382,15.055378,14.431011,14.185412,12.393817,12.957361,13.520717,14.310666,14.96177,15.13607,15.042232,13.779822,13.655282,13.483004,13.058897,13.63906,14.149592,15.780601,17.698619,18.707132,19.316895,21.016346,23.066308,24.548238,27.166132,29.536151,31.476581,31.674927,32.672414,30.268253,29.002552,29.802953,29.663308,31.809712,33.614113,33.769879,44.960886,47.052739,44.558499,42.336516,43.652608,43.580548,44.646298,43.541895,45.052652,47.27768,47.509105,48.372583
Mexico,69.009375,79.686603,87.687996,96.90349,103.435159,114.309366,121.504848,131.266293,137.676381,156.830782,169.120527,173.545194,163.957464,171.713259,178.94024,183.052344,191.915557,191.495021,205.70175,193.4217,208.10556,210.222167,212.482618,232.147796,213.217965,219.043272,232.423064,243.952127,238.277367,251.332473,247.497963,240.285634,238.321909,247.25982,255.136525,254.164703,262.420914,261.216366,252.131743,251.654074,258.475902,260.777001,257.40192,245.456565,243.053947,251.481506,244.754526,243.858866
United States,1987.332318,2148.613344,2251.061778,2148.773997,2067.938119,2226.040032,2364.673044,2365.441974,2279.346537,2076.872347,1958.485081,1888.418345,1845.940226,1889.757274,1903.040943,1962.620822,1992.688573,2071.992821,2074.198494,1951.524308,1899.219048,1934.269633,1965.528309,2006.594533,1960.426871,2019.669854,2155.433927,2247.875835,2271.677072,2283.368757,2312.59963,2198.147963,2254.413961,2307.285858,2316.638664,2259.674841,2237.898193,2106.746979,1999.129325,2059.702955,1929.343522,1869.771482,1925.833094,1913.694985,1983.611885,1992.406243,1981.289337,2031.28044
OECD Americas,2279.015644,2463.883401,2585.825303,2500.406964,2414.053101,2587.891272,2737.044428,2752.517318,2678.471985,2492.422398,2369.536711,2278.435217,2213.797384,2264.02627,2279.446903,2344.57038,2388.928503,2480.310175,2508.962067,2357.304488,2309.940429,2352.271264,2387.744341,2454.623684,2394.645227,2467.211277,2626.066497,2735.019464,2755.954393,2779.363961,2805.20088,2697.650979,2764.479794,2832.157701,2865.269091,2802.121896,2811.200676,2672.015311,2548.763,2614.970395,2492.965328,2438.691948,2494.651321,2465.366975,2538.490592,2556.389432,2544.740327,2600.996693
Australia,64.11846,63.297661,69.062774,77.805013,77.968212,79.211493,83.702992,85.628667,86.164031,83.795857,80.783319,80.228894,75.399603,77.488304,76.98651,76.807303,78.242027,80.506758,83.725942,85.478303,83.725273,83.371685,84.883418,87.117946,90.396052,93.722134,94.495553,95.34126,96.887421,99.857959,98.896763,100.508623,105.511788,108.683371,109.121901,110.284188,111.868602,115.786841,114.051722,119.908173,125.997474,127.798797,133.389809,131.780458,131.865106,131.944526,134.751822,137.979881
Israel,13.70422,14.401524,15.647481,15.819865,16.406655,16.481036,17.382086,18.576405,19.004822,18.847449,19.635965,18.695438,17.580146,15.974201,16.985246,18.609603,20.357209,22.15135,22.801342,23.350215,23.151602,23.14638,24.877289,26.837142,28.403326,27.490532,27.660956,26.101961,27.891439,29.277618,27.346877,29.169113,29.999937,27.862961,26.113965,26.957888,26.915572,27.326723,26.184677,28.925998,27.639347,35.135501,23.053236,20.715805,21.873139,22.458308,23.957068,22.647687
Japan,540.860182,573.279035,672.447239,657.094694,625.147037,649.149511,679.339602,681.816319,683.774955,620.680326,581.646442,544.017378,549.503883,566.304732,528.780771,536.155134,540.500976,581.637916,601.507971,645.856245,647.611024,659.663212,644.644682,681.749999,677.358314,672.67675,654.196727,638.933176,649.719395,634.246138,613.348233,624.49386,613.606838,603.649207,603.793218,567.994132,570.428246,523.054051,480.05547,483.597355,515.431721,524.250295,503.239832,461.585921,439.627207,424.384032,408.007612,384.112216
Korea,30.736858,31.837042,39.681454,41.174063,45.64176,51.625968,60.959626,68.997922,77.129033,75.063734,74.437562,73.57219,76.279376,74.88821,71.758359,73.972246,76.048897,92.645127,107.858432,132.951925,154.511684,176.679627,192.346931,207.308713,226.592984,231.224335,236.000314,175.013139,195.823199,205.387369,202.364183,197.88832,194.192055,191.0156,185.348043,176.5268,176.864951,159.529443,159.586635,163.029535,155.036351,155.406158,156.141463,151.040946,162.408793,168.983208,163.146067,158.872378
New Zealand,9.286357,10.89207,11.593146,12.285639,11.533376,11.953047,11.52754,10.868899,10.572641,10.709195,10.138576,10.105868,9.793487,9.810038,9.605154,9.809856,10.236441,10.660234,11.260997,11.777853,11.604248,12.568195,12.493499,13.455661,14.11717,14.236083,14.625021,14.794389,15.040821,15.750264,15.812489,16.491785,17.223736,17.64234,17.838123,17.9611,18.131707,18.202109,17.394037,17.280992,17.420041,17.438089,17.677523,18.047659,18.542963,18.882922,19.814211,20.087439
